,name,rank,marketcap,country,share_price,change1d,change1y,categories
6789,DHI Group,5936,$0.27 B,usa,$5.86,5.50%,2.72%,financial-services 
6790,"Arvind
",5924,$0.28 B,india,$1.08,0.40%,-47.57%,clothing 
6791,"Electrosteel Castings
",5928,$0.28 B,india,$0.47,2.80%,-12.96%,None
6792,HIVE Blockchain Technologies,5927,$0.28 B,canada,$3.40,2.45%,-68.79%,bitcoin tech bitcoin-mining 
6793,"NI Holdings
",5923,$0.28 B,usa,$13.41,1.06%,-26.84%,insurance 
6794,Absci,5921,$0.28 B,usa,$3.07,6.23%,-53.56%,biotech pharmaceuticals software tech 
6795,Ranger Energy Services,5919,$0.28 B,usa,$11.44,0.24%,9.55%,energy oil-gas oil-gas-equipment-services 
6796,Nathan's Famous,5917,$0.28 B,usa,$70.18,0.69%,27.05%,restaurant-chains food 
6797,The Honest Company,5922,$0.28 B,usa,$3.06,-1.29%,-55.20%,consumer-goods 
6798,Park Aerospace,5929,$0.28 B,usa,$13.75,0.00%,1.10%,aerospace 
6799,"Accelya
",5918,$0.28 B,india,$19.08,1.53%,30.06%,tech software 
6800,Honda Siel Power Products,5925,$0.28 B,india,$27.90,2.39%,49.52%,None
6801,Gritstone bio,5920,$0.28 B,usa,$3.41,3.33%,-45.44%,pharmaceuticals biotech 
6802,Actinium Pharmaceuticals,5930,$0.28 B,usa,$11.04,1.38%,98.92%,pharmaceuticals biotech 
6803,"Lands' End
",5926,$0.28 B,usa,$8.36,2.14%,-56.14%,clothing retail 
6804,eMudhra,5916,$0.28 B,india,$3.66,-1.20%,None,software tech 
6805,The Joint Corp.,5915,$0.28 B,usa,$19.71,2.82%,-64.10%,None
6806,"PDS Biotechnology
",5911,$0.28 B,usa,$9.94,-2.98%,54.99%,pharmaceuticals biotech 
6807,Adaptimmune Therapeutics,5901,$0.29 B,united-kingdom,$1.80,2.86%,-45.45%,pharmaceuticals biotech 
6808,"Azure Power
",5909,$0.28 B,india,$4.50,3.39%,-71.91%,renewable-energy electricity energy 
6809,Nouveau Monde Graphite,5906,$0.29 B,canada,$5.21,0.77%,-39.77%,mining 
6810,Zengame Technology,5902,$0.29 B,china,$0.29,-2.61%,81.25%,video-games entertainment 
6811,Porch Group,5913,$0.28 B,usa,$2.85,6.34%,-76.75%,software tech 
6812,Tethys Oil,6198,$0.20 B,sweden,$6.26,2.60%,None,oil-gas energy 
6813,Noodles & Company,5910,$0.28 B,usa,$6.25,0.97%,-26.73%,restaurant-chains food 
6814,Sonder Holdings,5912,$0.28 B,usa,$1.32,1.15%,-84.29%,rental-and-leasing-services real-estate travel 
6815,Eastman Kodak Company,5904,$0.29 B,usa,$3.70,0.84%,-17.94%,None
6816,Western Copper and Gold,5903,$0.29 B,canada,$1.92,1.05%,29.73%,mining gold-mining 
6817,Transphorm,5908,$0.28 B,usa,$5.11,0.00%,-25.40%,semiconductors tech tech-hardware 
6818,FriendTimes,5907,$0.29 B,china,$0.13,0.00%,-35.00%,video-games entertainment 
6819,SRA Holdings,5914,$0.28 B,japan,$23.22,0.98%,-5.88%,None
6820,"PCSB Financial
",5905,$0.29 B,usa,$19.04,-1.14%,0.00%,banks financial-services 
6821,Bannerman Energy,6197,$0.20 B,australia,$1.34,0.78%,None,uranium energy mining 
6822,CleanSpark,6193,$0.20 B,usa,$2.84,4.60%,-65.22%,software tech 
6823,Kingfa Science & Technology,6194,$0.20 B,india,$16.80,3.38%,-15.92%,None
6824,Oportun Financial,6192,$0.20 B,usa,$6.16,0.16%,-67.46%,financial-services 
6825,MainStreet Bancshares,6188,$0.20 B,usa,$27.71,0.00%,13.80%,banks financial-services 
6826,AgileThought,6196,$0.20 B,usa,$4.20,0.00%,-22.51%,software tech it-services professional-services 
6827,INNOVATE Corp.,6195,$0.20 B,usa,$2.60,-0.57%,-36.08%,financial-services 
6828,"Tupperware Brands
",6190,$0.20 B,usa,$4.61,2.22%,-68.29%,None
6829,"Tamil Nadu Newsprint and Papers Limited
",6189,$0.20 B,india,$2.97,1.43%,73.68%,None
6830,Cepton,6182,$0.20 B,usa,$1.33,5.56%,-86.65%,lidar tech tech-hardware software autonomous-driving 
6831,Vintage Wine Estates,6185,$0.20 B,usa,$3.36,0.60%,-67.09%,alcoholic-beverages beverages 
6832,VersaBank,6186,$0.20 B,canada,$7.55,0.00%,-36.71%,banks financial-services 
6833,"Shalby
",6183,$0.20 B,india,$1.92,-2.32%,-5.88%,healthcare 
6834,Lumax Industries,6191,$0.20 B,india,$21.87,0.67%,36.94%,automotive-suppliers 
6835,Rottneros,6187,$0.20 B,sweden,$1.35,1.59%,17.39%,pulp-and-paper packaging 
6836,Big 5 Sporting Goods,6184,$0.20 B,usa,$9.34,-8.75%,-53.23%,sports 
6837,"LCNB
",6179,$0.20 B,usa,$18.59,0.00%,-6.96%,investment financial-services 
6838,"Ellomay Capital
",6171,$0.21 B,israel,$16.38,0.00%,-44.72%,renewable-energy 
6839,"Genius Brands
",6178,$0.20 B,usa,$0.66,0.03%,-39.72%,entertainment 
6840,"Jakks Pacific
",6181,$0.20 B,usa,$21.40,0.61%,129.60%,toys 
6841,KemPharm,6175,$0.21 B,usa,$6.09,2.35%,-25.64%,pharmaceuticals biotech 
6842,Gossamer Bio,6174,$0.21 B,usa,$2.22,4.46%,-80.13%,pharmaceuticals biotech 
6843,gumi,6177,$0.20 B,japan,$7.18,1.98%,35.98%,video-games entertainment tech 
6844,The Beachbody Company,6172,$0.21 B,usa,$0.67,0.99%,-65.43%,None
6845,Cadiz,6173,$0.21 B,usa,$3.77,1.62%,13.90%,agriculture 
6846,"Y-mAbs Therapeutics
",6180,$0.20 B,usa,$4.79,1.91%,-60.48%,pharmaceuticals 
6847,Incannex Healthcare,6170,$0.21 B,australia,$3.46,4.09%,None,pharmaceuticals biotech 
6848,Mahanagar Telephone Nigam,6168,$0.21 B,india,$0.34,7.92%,-24.44%,telecommunication 
6849,Potbelly Corporation,6176,$0.21 B,usa,$7.29,2.29%,27.28%,restaurant-chains food 
6850,Ashford Hospitality Trust,6169,$0.21 B,usa,$5.84,0.17%,-48.18%,real-estate investment reit 
6851,Fiesta Restaurant Group,6166,$0.21 B,usa,$8.14,0.12%,-18.76%,food restaurant-chains 
6852,Greenwich LifeSciences,6167,$0.21 B,usa,$16.45,0.86%,None,pharmaceuticals biotech 
6853,Limestone Bancorp,6163,$0.21 B,usa,$24.57,-2.15%,25.23%,banks financial-services 
6854,RGC Resources,6152,$0.21 B,usa,$21.90,-4.79%,-2.89%,oil-gas utility-companies energy 
6855,Duluth Holdings,6162,$0.21 B,usa,$6.37,0.95%,-56.16%,clothing retail 
6856,Cato Fashion,6165,$0.21 B,usa,$10.13,0.20%,-39.27%,retail clothing 
6857,Federal-Mogul Goetze,6164,$0.21 B,india,$3.80,0.73%,16.56%,manufacturing auto-parts automotive-suppliers 
6858,Tide Water Oil,6161,$0.21 B,india,$12.23,-0.28%,-39.43%,None
6859,ReconAfrica,6153,$0.21 B,canada,$1.03,7.31%,-82.02%,oil-gas energy 
6860,Savara Pharmaceuticals,6154,$0.21 B,usa,$1.88,-0.42%,48.19%,pharmaceuticals biotech 
6861,Western New England Bancorp,6160,$0.21 B,usa,$9.61,0.00%,5.03%,banks financial-services 
6862,"Investar Holding
",6159,$0.21 B,usa,$21.57,0.00%,14.19%,banks financial-services 
6863,Inotiv,6156,$0.21 B,usa,$8.37,-3.14%,-74.53%,pharmaceuticals biotech 
6864,ESSA Bancorp,6157,$0.21 B,usa,$20.60,0.00%,17.78%,banks financial-services 
6865,Beyond Air,6158,$0.21 B,usa,$7.14,4.63%,-2.65%,medical-devices medical-equipment 
6866,Kandi Technologies Group,6155,$0.21 B,china,$2.89,1.05%,-13.47%,electric-vehicles automakers manufacturing 
6867,Applied Blockchain,6137,$0.22 B,usa,$2.35,4.44%,-41.98%,tech software 
6868,"Middlefield Banc
",6145,$0.21 B,usa,$27.48,0.00%,6.99%,banks financial-services 
6869,Gallantt Ispat,6139,$0.22 B,india,$0.78,1.17%,6.85%,None
6870,ThredUp,6149,$0.21 B,usa,$2.14,3.87%,-80.11%,clothing retail internet e-commerce tech 
6871,"Vidhi Specialty Food
",6138,$0.22 B,india,$4.43,-1.93%,-23.75%,food 
6872,FuRyu,6141,$0.22 B,japan,$8.29,0.85%,-23.66%,video-games entertainment 
6873,Planet13,6151,$0.21 B,usa,$0.98,0.00%,-70.83%,cannabis 
6874,Hindustan Oil Exploration Company,6142,$0.22 B,india,$1.66,1.12%,-45.39%,oil-gas energy 
6875,WM Technology,6140,$0.22 B,usa,$1.23,6.03%,-76.88%,cannabis tech internet 
6876,"Caesarstone
",6143,$0.21 B,israel,$6.38,0.55%,-49.24%,manufacturing 
6877,Matrix Service,6136,$0.22 B,usa,$8.22,2.37%,1.36%,engineering professional-services 
6878,Ames National Corp.,6146,$0.21 B,usa,$24.20,0.00%,-3.78%,banks financial-services 
6879,Evans Bancorp,6147,$0.21 B,usa,$39.45,0.00%,-3.66%,banks financial-services 
6880,Portman Ridge,6144,$0.21 B,usa,$22.74,0.57%,-8.31%,investment 
6881,"Akoustis Technologies
",6150,$0.21 B,usa,$3.71,1.64%,-37.01%,None
6882,scPharmaceuticals,6148,$0.21 B,usa,$6.36,-0.70%,54.62%,pharmaceuticals biotech 
6883,Vera Therapeutics,6135,$0.22 B,usa,$8.01,4.71%,-59.01%,pharmaceuticals biotech 
6884,Plumas Bancorp,6134,$0.22 B,usa,$38.15,3.05%,7.37%,banks financial-services 
6885,"Greenply
",6131,$0.22 B,india,$1.82,1.72%,-38.31%,None
6886,"Avita Medical
",6133,$0.22 B,usa,$8.95,11.18%,-13.53%,None
6887,Codorus Valley Bancorp,6122,$0.22 B,usa,$23.80,-0.21%,7.64%,banks financial-services 
6888,"Territorial Bancorp
",6130,$0.22 B,usa,$24.66,-0.96%,-1.83%,banks financial-services 
6889,Absa Bank,6127,$0.22 B,south-africa,$50.44,-1.28%,4.30%,banks financial-services 
6890,"Sanghi Industries
",6129,$0.22 B,india,$0.87,1.00%,1.16%,cement building-materials 
6891,CompX International,6132,$0.22 B,usa,$18.21,0.00%,-18.92%,None
6892,Homepoint,6124,$0.22 B,usa,$1.64,0.00%,-66.46%,financial-services 
6893,"PLAID,Inc.",6123,$0.22 B,japan,$5.81,1.90%,-64.05%,software tech 
6894,Alembic Limited,6125,$0.22 B,india,$0.88,2.79%,-38.46%,None
6895,Hooker Furniture,6126,$0.22 B,usa,$20.01,-0.45%,-13.60%,furniture 
6896,Perpetua Resources,6128,$0.22 B,usa,$3.59,3.39%,-12.50%,mining gold-mining silver-mining 
6897,UBM Development,6120,$0.22 B,None,$30.52,-0.71%,-36.16%,real-estate 
6898,Accuray,6121,$0.22 B,usa,$2.43,2.57%,-42.67%,medical-devices 
6899,"EMX Royalty
",6107,$0.23 B,canada,$2.09,-0.95%,-5.43%,None
6900,Maruzen,6115,$0.22 B,japan,$14.15,0.88%,-25.33%,retail 
6901,Vadilal Industries,6113,$0.23 B,india,$32.01,-0.66%,155.67%,food dairy 
6902,Consolidated Water,6110,$0.23 B,None,$14.71,-0.46%,45.96%,None
6903,TELA Bio,6106,$0.23 B,usa,$12.07,0.42%,0.58%,medical-devices 
6904,Greenhill,6105,$0.23 B,usa,$12.85,-0.46%,-33.56%,banks financial-services investment 
6905,"Ten Square Games
",6112,$0.23 B,poland,$31.39,-4.05%,-68.00%,video-games entertainment 
6906,Appen,6117,$0.22 B,australia,$1.85,1.14%,-73.94%,tech professional-services it-services 
6907,"Kamada
",6109,$0.23 B,israel,$5.13,4.27%,-24.11%,None
6908,Invivyd,6114,$0.22 B,usa,$2.11,0.00%,-61.64%,pharmaceuticals biotech 
6909,"Voxx International
",6111,$0.23 B,usa,$9.75,-3.18%,-7.32%,electronics 
6910,Eurobio Scientific,6119,$0.22 B,france,$20.16,-1.01%,-23.72%,biotech diagnostics 
6911,ZimVie,6108,$0.23 B,usa,$8.85,1.84%,None,medical-devices 
6912,Community Financial Corporation,6116,$0.22 B,usa,$40.59,0.42%,2.76%,financial-services 
6913,BlackSky Technology,6118,$0.22 B,usa,$1.88,1.34%,-42.53%,aerospace software tech 
6914,Quad,6104,$0.23 B,usa,$4.40,-0.59%,-5.29%,advertising 
6915,Franklin Covey,5198,$0.63 B,usa,$45.50,1.09%,-8.60%,professional-services 
6916,Aveanna Healthcare,6102,$0.23 B,usa,$1.25,4.17%,-80.31%,healthcare 
6917,"SilverBow Resources
",5190,$0.63 B,usa,$28.46,2.19%,16.93%,oil-gas energy 
6918,QNB Finansleasing,5199,$0.63 B,turkey,$5.50,-0.67%,-30.99%,None
6919,Iguatemi,5189,$0.63 B,brazil,$0.52,0.38%,-3.70%,real-estate 
6920,Couchbase,5194,$0.63 B,usa,$14.03,1.08%,-33.32%,software tech 
6921,Yalla Group,5191,$0.63 B,united-arab-emirates,$4.28,-0.70%,-34.56%,internet tech 
6922,Bankwell Financial Group,6101,$0.23 B,usa,$30.15,0.00%,-11.66%,banks financial-services 
6923,Shenzhen Bingchuan Network,5193,$0.63 B,china,$4.16,1.98%,28.40%,video-games entertainment 
6924,Lindblad Expeditions,5195,$0.63 B,usa,$11.92,4.15%,-35.64%,travel 
6925,Clover Health Investments,5192,$0.63 B,usa,$1.31,3.63%,-58.02%,healthcare 
6926,"Community Health Systems
",5200,$0.63 B,usa,$4.70,1.84%,-64.21%,healthcare medical-care-facilities 
6927,Rocky Brands,6103,$0.23 B,usa,$31.67,0.51%,-24.45%,footwear manufacturing 
6928,Aerovate Therapeutics,5184,$0.64 B,usa,$26.13,4.77%,187.46%,pharmaceuticals biotech 
6929,"Allied Motion Technologies
",5197,$0.63 B,usa,$39.85,0.50%,1.22%,electronics tech 
6930,Poseida Therapeutics,5201,$0.63 B,usa,$7.33,1.95%,39.35%,gene-therapy genomics pharmaceuticals biotech 
6931,Energy Vault,5167,$0.65 B,usa,$4.72,32.72%,-52.37%,energy renewable-energy 
6932,Zensar,5186,$0.64 B,india,$2.69,0.76%,-58.42%,professional-services 
6933,Kaman,5178,$0.64 B,usa,$23.04,0.55%,-48.47%,aerospace 
6934,Ares Commercial Real Estate,5180,$0.64 B,usa,$11.84,1.20%,-21.17%,real-estate investment reit 
6935,Com2uS,5177,$0.64 B,south-korea,$51.97,0.94%,-52.40%,video-games entertainment tech 
6936,Morphosys,5185,$0.64 B,germany,$4.70,1.73%,-44.58%,None
6937,"1-800-Flowers
",5172,$0.64 B,usa,$10.04,1.41%,-58.18%,None
6938,Vimeo,5182,$0.64 B,usa,$3.86,3.90%,-73.69%,internet tech 
6939,Orpea,5179,$0.64 B,france,$8.23,-2.75%,-91.77%,medical-care-facilities 
6940,Orrön Energy,5187,$0.63 B,sweden,$2.24,0.52%,-94.23%,oil-gas energy 
6941,"Nano Dimension
",5173,$0.64 B,usa,$2.52,0.35%,-32.11%,3d-printing tech 
6942,Peapack-Gladstone Financial,5175,$0.64 B,usa,$36.14,-0.41%,-3.06%,banks financial-services 
6943,Interface,5188,$0.63 B,usa,$10.98,1.20%,-25.86%,None
6944,Polyplex,5174,$0.64 B,india,$20.61,12.07%,-17.00%,None
6945,Virgin Orbit,5181,$0.64 B,usa,$1.91,2.73%,-78.70%,aerospace 
6946,INDUS Realty Trust,5170,$0.65 B,usa,$64.00,0.95%,-20.15%,real-estate investment reit 
6947,Immatics,5164,$0.65 B,germany,$8.60,2.79%,-27.52%,pharmaceuticals biotech 
6948,RE/MAX Holdings,5163,$0.65 B,usa,$21.29,1.19%,-31.26%,real-estate 
6949,TrueBlue,5165,$0.65 B,usa,$20.02,1.16%,-31.67%,staffing-employment professional-services 
6950,DoubleUGames,5162,$0.65 B,south-korea,$39.44,0.62%,-12.51%,video-games entertainment 
6951,"SandRidge Energy
",5168,$0.65 B,usa,$17.70,1.55%,54.59%,oil-gas energy 
6952,Gujarat Alkalies and Chemicals,5158,$0.65 B,india,$8.98,-0.22%,-5.67%,chemicals 
6953,"Triumph Group
",5160,$0.65 B,usa,$10.14,1.81%,-52.19%,aerospace 
6954,Delegat,5171,$0.64 B,new-zealand,$6.42,2.03%,-32.63%,beverages alcoholic-beverages 
6955,COLOPL,5166,$0.65 B,japan,$5.10,2.01%,-11.61%,video-games entertainment tech 
6956,New Found Gold,5169,$0.65 B,canada,$3.86,0.52%,-35.77%,mining gold-mining 
6957,Zynex,5183,$0.64 B,usa,$16.70,-0.24%,105.16%,medical-devices 
6958,"Kelly Services
",5157,$0.65 B,usa,$17.44,1.04%,-5.17%,professional-services staffing-employment 
6959,Pagaya Technologies,5176,$0.64 B,israel,$0.95,0.01%,-90.37%,software tech financial-services 
6960,First Mid-Illinois Bancshares,5161,$0.65 B,usa,$32.19,-1.25%,-27.71%,banks financial-services 
6961,Cass Information Systems,5159,$0.65 B,usa,$48.28,-0.64%,21.28%,professional-services financial-services 
6962,Zymeworks,5150,$0.66 B,canada,$10.51,5.10%,-29.79%,pharmaceuticals biotech 
6963,"OTC Markets Group
",5145,$0.66 B,usa,$56.07,0.00%,-6.63%,financial-services stock-exchanges exchanges 
6964,Rackspace Technology,5153,$0.66 B,usa,$3.13,4.33%,-75.51%,tech software 
6965,MMTC,5156,$0.65 B,india,$0.44,0.56%,-33.33%,None
6966,Guild Mortgage,5151,$0.66 B,usa,$10.84,0.00%,-22.46%,financial-services 
6967,i-80 Gold,5146,$0.66 B,usa,$2.76,2.79%,23.99%,mining gold-mining 
6968,"ACM Research
",5131,$0.67 B,usa,$11.30,5.51%,-87.26%,semiconductors tech-hardware tech 
6969,Cutera,5155,$0.66 B,usa,$33.66,-2.15%,-9.22%,cosmetics 
6970,Metropolitan Bank Holding,5143,$0.66 B,usa,$59.43,0.30%,-46.11%,banks financial-services 
6971,Sunway,5152,$0.66 B,malaysia,$0.37,-0.62%,-9.76%,conglomerate 
6972,"The Hackett Group
",5148,$0.66 B,usa,$20.93,0.19%,5.18%,it-services professional-services 
6973,"Haynes International
",5144,$0.66 B,usa,$53.14,0.57%,27.19%,None
6974,Norma Group,5154,$0.66 B,germany,$20.69,2.97%,-48.04%,None
6975,York Water,5147,$0.66 B,usa,$46.49,-0.30%,1.77%,utility-companies 
6976,"Mahindra Lifespaces
",5149,$0.66 B,india,$4.28,-0.04%,19.22%,real-estate 
6977,Delta Corp,5135,$0.66 B,india,$2.50,-3.79%,-37.19%,gambling hotels entertainment travel 
6978,Oscar Health,5130,$0.67 B,usa,$3.13,2.96%,-56.95%,healthcare insurance 
6979,VSE Corporation,5139,$0.66 B,usa,$52.14,0.84%,-9.88%,defense-contractors 
6980,AMTD IDEA Group,5142,$0.66 B,hong-kong,$1.70,1.77%,None,financial-services 
6981,Eurowag,5127,$0.67 B,united-kingdom,$0.98,0.00%,-31.94%,financial-services 
6982,"ChannelAdvisor
",5138,$0.66 B,usa,$23.09,0.04%,3.68%,software e-commerce tech internet 
6983,Wirtualna Polska (WP Holding),5141,$0.66 B,poland,$22.76,-0.91%,-32.96%,internet e-commerce tech 
6984,"Sunteck Realty
",5140,$0.66 B,india,$4.55,-0.50%,-40.91%,real-estate construction 
6985,"Faro Technologies
",5132,$0.67 B,usa,$35.74,0.99%,-42.22%,scientific-and-technical-instruments tech 
6986,SomaLogic,5134,$0.66 B,usa,$3.57,4.39%,-59.15%,diagnostics biotech 
6987,Novonix,5137,$0.66 B,australia,$5.50,0.00%,None,batteries electricity 
6988,"Amneal Pharmaceuticals
",5133,$0.66 B,usa,$2.21,-0.18%,-52.46%,pharmaceuticals biotech 
6989,Koppers,5136,$0.66 B,usa,$32.00,-0.09%,1.72%,chemicals 
6990,NHN Corp,5128,$0.67 B,south-korea,$20.45,-0.20%,-40.05%,video-games entertainment 
6991,Dynex Capital,5129,$0.67 B,usa,$14.51,1.40%,-14.24%,real-estate investment reit 
6992,Hawaiian Airlines,5125,$0.67 B,usa,$13.12,2.90%,-34.99%,airlines travel transportation 
6993,"Orient Electric
",5115,$0.68 B,india,$3.22,-0.46%,-35.21%,home-and-kitchen-appliances 
6994,"Clear Channel Outdoor
",5120,$0.68 B,usa,$1.43,7.41%,-56.18%,advertising 
6995,Kaiser (China) Culture,5111,$0.68 B,china,$0.72,1.90%,-50.34%,video-games entertainment 
6996,Nordic American Tankers,5119,$0.68 B,None,$3.26,1.20%,89.47%,transportation maritime-transportation oil-gas 
6997,"Orthofix Medical
",5116,$0.68 B,usa,$19.16,2.02%,-41.76%,None
6998,Ducommun,5124,$0.67 B,usa,$56.12,-0.11%,23.21%,aerospace electronics 
6999,CMGE Technology Group,5112,$0.68 B,china,$0.25,0.00%,-37.50%,video-games entertainment 
7000,Barrett Business Services,5122,$0.67 B,usa,$97.67,0.48%,48.10%,professional-services 
7001,ITM Power,5123,$0.67 B,united-kingdom,$1.10,-1.42%,-76.50%,energy renewable-energy electricity 
7002,Snap One,5117,$0.68 B,usa,$9.00,1.93%,-50.00%,electronics tech 
7003,Horizon Bancorp,5113,$0.68 B,usa,$15.63,0.39%,-32.77%,banks financial-services 
7004,"Intercept Pharmaceuticals
",5109,$0.68 B,usa,$16.64,3.81%,-6.31%,None
7005,"Neowiz Games
",5121,$0.67 B,south-korea,$32.13,0.51%,None,video-games entertainment tech 
7006,Redfin,5108,$0.68 B,usa,$6.34,0.63%,-80.44%,real-estate internet tech 
7007,"Religare
",5118,$0.68 B,india,$2.11,3.25%,14.67%,insurance financial-services 
7008,"Emergent BioSolutions
",5126,$0.67 B,usa,$13.51,2.35%,-74.13%,pharmaceuticals biotech 
7009,American Vanguard,5114,$0.68 B,usa,$23.21,0.30%,43.54%,agriculture chemicals 
7010,Gladstone Commercial,5105,$0.69 B,usa,$17.12,0.35%,-30.63%,real-estate investment reit 
7011,"bluebird bio
",5316,$0.56 B,usa,$6.76,-7.07%,-22.51%,pharmaceuticals biotech genomics gene-therapy 
7012,4D Molecular Therapeutics,5110,$0.68 B,usa,$21.27,1.00%,25.19%,pharmaceuticals biotech 
7013,SIGA Technologies,5300,$0.56 B,usa,$7.79,2.37%,11.44%,pharmaceuticals biotech 
7014,Anterix,5102,$0.69 B,usa,$36.48,0.30%,-29.78%,telecommunication 
7015,"HarborOne Bancorp
",5096,$0.69 B,usa,$14.11,-0.63%,-6.12%,banks financial-services 
7016,Berry Corporation,5101,$0.69 B,usa,$9.01,1.46%,-5.16%,oil-gas energy 
7017,"Kearny Financial
",5107,$0.68 B,usa,$10.21,-0.87%,-26.23%,banks financial-services 
7018,MaxCyte,5307,$0.56 B,usa,$5.55,-2.12%,-23.34%,pharmaceuticals biotech 
7019,PlayWay,5295,$0.57 B,poland,$86.56,1.01%,-18.52%,video-games entertainment tech 
7020,Endeavour Silver,5095,$0.69 B,canada,$3.66,2.96%,-12.14%,mining silver-mining 
7021,Hyliion,5282,$0.57 B,usa,$3.22,4.21%,-38.90%,electric-vehicles 
7022,"Sorrento Therapeutics
",5284,$0.57 B,usa,$1.22,5.60%,-73.14%,pharmaceuticals biotech 
7023,Valhi,5106,$0.69 B,usa,$24.40,0.00%,-16.41%,None
7024,"Babcock & Wilcox
",5297,$0.57 B,usa,$6.44,0.94%,-19.40%,electricity energy 
7025,JSW Holdings,5294,$0.57 B,india,$51.70,-1.29%,-7.31%,financial-services 
7026,Ruth's Hospitality Group,5276,$0.58 B,usa,$17.49,0.39%,-13.55%,restaurant-chains food 
7027,"Chico's
",5286,$0.57 B,usa,$4.61,2.44%,-3.76%,clothing retail 
7028,"Sundial Growers
",5293,$0.57 B,canada,$2.42,3.19%,333.04%,cannabis 
7029,ZeroFox,5289,$0.57 B,usa,$4.86,-2.02%,-51.59%,it-security software tech 
7030,Tunas Ridean,5288,$0.57 B,indonesia,$0.10,0.00%,11.11%,retail used-car-retailer car-retail 
7031,Lion Electric,5273,$0.58 B,canada,$2.66,4.92%,-72.92%,electric-vehicles specialty-vehicles manufacturing 
7032,"Funko
",5279,$0.57 B,usa,$12.27,2.16%,-31.07%,toys manufacturing 
7033,Syrma SGS Technology,5281,$0.57 B,india,$3.27,-0.17%,None,electronics manufacturing 
7034,Acco Brands,5280,$0.57 B,usa,$6.14,0.33%,-27.85%,manufacturing 
7035,HBT Financial,5291,$0.57 B,usa,$19.96,-0.70%,1.17%,financial-services banks 
7036,"Ardmore Shipping
",5285,$0.57 B,None,$14.23,0.07%,303.12%,transportation maritime-transportation 
7037,"LexinFintech Holdings
",5292,$0.57 B,china,$3.10,-0.48%,-11.03%,financial-services 
7038,Artesian Resources,5296,$0.57 B,usa,$60.60,-0.70%,35.72%,utility-companies 
7039,Quanterix,5301,$0.56 B,usa,$15.35,8.63%,-52.99%,diagnostics biotech 
7040,"Karnataka Bank
",5287,$0.57 B,india,$1.85,-0.26%,105.56%,banks financial-services 
7041,Mersana Therapeutics,5268,$0.58 B,usa,$5.89,2.43%,-6.21%,pharmaceuticals 
7042,I-Mab Biopharma,5278,$0.57 B,china,$6.98,1.82%,-80.11%,pharmaceuticals biotech 
7043,Materialise NV,5275,$0.58 B,belgium,$9.86,0.77%,-52.39%,3d-printing software tech 
7044,"Vishay Precision Group
",5274,$0.58 B,usa,$42.95,0.37%,26.44%,scientific-and-technical-instruments manufacturing 
7045,Vertical Aerospace,5283,$0.57 B,united-kingdom,$2.75,5.77%,-68.35%,aerospace aircraft-manufacturers manufacturing 
7046,Flushing Financial Corp,5271,$0.58 B,usa,$19.66,-1.01%,-24.03%,banks financial-services 
7047,"Bionano Genomics
",5272,$0.58 B,usa,$1.97,1.03%,-22.75%,genomics biotech diagnostics 
7048,"Cara Therapeutics
",5267,$0.58 B,usa,$10.95,2.15%,-8.37%,pharmaceuticals cannabis 
7049,2U,5257,$0.59 B,usa,$7.58,2.16%,-53.86%,education tech 
7050,"CymaBay Therapeutics
",5277,$0.58 B,usa,$6.86,0.96%,122.56%,pharmaceuticals biotech 
7051,"Harsco
",5269,$0.58 B,usa,$7.39,1.23%,-57.50%,steel-producers steel-industry 
7052,Satixfy Communications,5232,$0.60 B,israel,$7.35,2.94%,None,iot tech tech-hardware networking-hardware 
7053,"Silvercorp Metals
",5260,$0.59 B,canada,$3.35,2.13%,-5.10%,silver-mining 
7054,Infibeam Avenues,5264,$0.58 B,india,$0.22,0.28%,-60.00%,e-commerce financial-services tech 
7055,"Engineers India
",5266,$0.58 B,india,$1.05,0.18%,7.14%,engineering professional-services 
